"module name","license","repository"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"ejs@3.1.10","Apache-2.0","https://github.com/mde/ejs"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"end-of-stream@1.4.4","MIT","https://github.com/mafintosh/end-of-stream"
"es6-promise@4.2.8","MIT","https://github.com/stefanpenner/es6-promise"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"event-target-shim@5.0.1","MIT","https://github.com/mysticatea/event-target-shim"
"events@3.3.0","MIT","https://github.com/Gozala/events"
"express@4.19.2","MIT","https://github.com/expressjs/express"
"extract-zip@2.0.1","BSD-2-Clause","https://github.com/maxogden/extract-zip"
"fast-fifo@1.3.2","MIT","https://github.com/mafintosh/fast-fifo"
"fd-slicer@1.1.0","MIT","https://github.com/andrewrk/node-fd-slicer"
"filelist@1.0.4","Apache-2.0","https://github.com/mde/filelist"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@1.2.0","MIT","https://github.com/pillarjs/finalhandler"
"find-yarn-workspace-root@2.0.0","Apache-2.0","https://github.com/square/find-yarn-workspace-root"
"follow-redirects@1.15.2","MIT","https://github.com/follow-redirects/follow-redirects"
"foreground-child@3.1.1","ISC","https://github.com/tapjs/foreground-child"
"form-data@4.0.0","MIT","https://github.com/form-data/form-data"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"friendly-node-cron@1.5.0","MIT","https://github.com/FreaKzero/friendly-node-cron"
"fs-extra@11.2.0","MIT","https://github.com/jprichardson/node-fs-extra"
"fs-extra@7.0.1","MIT","https://github.com/jprichardson/node-fs-extra"
"fs-extra@9.1.0","MIT","https://github.com/jprichardson/node-fs-extra"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.2.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-stream@5.2.0","MIT","https://github.com/sindresorhus/get-stream"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob-to-regexp@0.3.0","BSD-2-Clause","https://github.com/fitzgen/glob-to-regexp"
"glob@10.4.1","ISC","https://github.com/isaacs/node-glob"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"heap@0.2.7","MIT","https://github.com/qiao/heap.js"
"http-errors@2.0.0","MIT","https://github.com/jshttp/http-errors"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-absolute@1.0.0","MIT","https://github.com/jonschlinkert/is-absolute"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-docker@2.2.1","MIT","https://github.com/sindresorhus/is-docker"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-relative@1.0.0","MIT","https://github.com/jonschlinkert/is-relative"
"is-stream@2.0.1","MIT","https://github.com/sindresorhus/is-stream"
"is-unc-path@1.0.0","MIT","https://github.com/jonschlinkert/is-unc-path"
"is-windows@1.0.2","MIT","https://github.com/jonschlinkert/is-windows"
"is-wsl@2.2.0","MIT","https://github.com/sindresorhus/is-wsl"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"isnumber@1.0.0","MIT","https://github.com/brycebaril/node-isnumber"
"jackspeak@3.4.0","BlueOak-1.0.0","https://github.com/isaacs/jackspeak"
"jake@10.8.5","Apache-2.0","https://github.com/jakejs/jake"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml"
"json-diff@1.0.6","MIT","https://github.com/andreyvit/json-diff"
"json-stable-stringify@1.0.2","MIT","https://github.com/ljharb/json-stable-stringify"
"jsonfile@4.0.0","MIT","https://github.com/jprichardson/node-jsonfile"
"jsonfile@6.1.0","MIT","https://github.com/jprichardson/node-jsonfile"
"jsonify@0.0.1","Public Domain","https://github.com/ljharb/jsonify"
"klaw-sync@6.0.0","MIT","https://github.com/manidlou/node-klaw-sync"
"lazystream@1.0.1","MIT","https://github.com/jpommerening/node-lazystream"
"lnk@1.1.0","MIT","https://github.com/schnittstabil/lnk"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"logic-solver@2.0.1","MIT","https://github.com/meteor/logic-solver"
"lru-cache@10.2.2","ISC","https://github.com/isaacs/node-lru-cache"
"lru-cache@6.0.0","ISC","https://github.com/isaacs/node-lru-cache"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"micromatch@4.0.5","MIT","https://github.com/micromatch/micromatch"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimatch@5.1.6","ISC","https://github.com/isaacs/minimatch"
"minimatch@9.0.4","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"minipass@7.0.3","ISC","https://github.com/isaacs/minipass"
"minipass@7.1.2","ISC","https://github.com/isaacs/minipass"
"mkdirp@0.5.6","MIT","https://github.com/substack/node-mkdirp"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"negotiator@0.6.3","MIT","https://github.com/jshttp/negotiator"
"node-cron@3.0.3","ISC","https://github.com/merencia/node-cron"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.12.3","MIT","https://github.com/inspect-js/object-inspect"
"ohm-js@16.4.0","MIT","https://github.com/harc/ohm"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"open@7.4.2","MIT","https://github.com/sindresorhus/open"
"opentosca-vintner@0.1.4","Apache-2.0","https://github.com/OpenTOSCA/opentosca-vintner"
"os-tmpdir@1.0.2","MIT","https://github.com/sindresorhus/os-tmpdir"
"papaparse@5.4.1","MIT","https://github.com/mholt/PapaParse"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"patch-package@8.0.0","MIT","https://github.com/ds300/patch-package"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-scurry@1.11.1","BlueOak-1.0.0","https://github.com/isaacs/path-scurry"
"path-to-regexp@0.1.7","MIT","https://github.com/component/path-to-regexp"
"pend@1.2.0","MIT","https://github.com/andrewrk/node-pend"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch"
"pify@2.3.0","MIT","https://github.com/sindresorhus/pify"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"process@0.11.10","MIT","https://github.com/shtylman/node-process"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"pump@3.0.0","MIT","https://github.com/mafintosh/pump"
"qs@6.11.0","BSD-3-Clause","https://github.com/ljharb/qs"
"queue-tick@1.0.1","MIT","https://github.com/mafintosh/queue-tick"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@2.5.2","MIT","https://github.com/stream-utils/raw-body"
"readable-stream@2.3.8","MIT","https://github.com/nodejs/readable-stream"
"readable-stream@4.5.2","MIT","https://github.com/nodejs/readable-stream"
"readdir-enhanced@1.5.2","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"readdir-glob@1.1.3","Apache-2.0","https://github.com/Yqnn/node-readdir-glob"
"readdirp@3.6.0","MIT","https://github.com/paulmillr/readdirp"
"regression@2.0.1","MIT","https://github.com/Tom-Alexander/regression-js"
"rimraf@2.7.1","ISC","https://github.com/isaacs/rimraf"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"sax@1.2.4","ISC","https://github.com/isaacs/sax-js"
"semver@7.5.4","ISC","https://github.com/npm/node-semver"
"send@0.18.0","MIT","https://github.com/pillarjs/send"
"serve-static@1.15.0","MIT","https://github.com/expressjs/serve-static"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"side-channel@1.0.4","MIT","https://github.com/ljharb/side-channel"
"signal-exit@4.1.0","ISC","https://github.com/tapjs/signal-exit"
"slash@2.0.0","MIT","https://github.com/sindresorhus/slash"
"stats-lite@2.2.0","MIT","https://github.com/brycebaril/node-stats-lite"
"statuses@2.0.1","MIT","https://github.com/jshttp/statuses"
"streamx@2.18.0","MIT","https://github.com/mafintosh/streamx"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string-width@5.1.2","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-ansi@7.1.0","MIT","https://github.com/chalk/strip-ansi"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"sync-directory@6.0.5","ISC","https://github.com/hoperyy/sync-directory"
"systeminformation@5.22.11","MIT","https://github.com/sebhildebrandt/systeminformation"
"tar-stream@3.1.7","MIT","https://github.com/mafintosh/tar-stream"
"text-decoder@1.1.0","Apache-2.0","https://github.com/holepunchto/text-decoder"
"tmp@0.0.33","MIT","https://github.com/raszi/node-tmp"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"tslib@2.5.0","0BSD","https://github.com/Microsoft/tslib"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"unc-path-regex@0.1.2","MIT","https://github.com/regexhq/unc-path-regex"
"underscore@1.13.6","MIT","https://github.com/jashkenas/underscore"
"universalify@0.1.2","MIT","https://github.com/RyanZim/universalify"
"universalify@2.0.0","MIT","https://github.com/RyanZim/universalify"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"uuid@10.0.0","MIT","https://github.com/uuidjs/uuid"
"uuid@8.3.2","MIT","https://github.com/uuidjs/uuid"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"wordwrap@1.0.0","MIT","https://github.com/substack/node-wordwrap"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"wrap-ansi@8.1.0","MIT","https://github.com/chalk/wrap-ansi"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"xml2js@0.6.2","MIT","https://github.com/Leonidas-from-XIV/node-xml2js"
"xmlbuilder@11.0.1","MIT","https://github.com/oozcitak/xmlbuilder-js"
"yallist@4.0.0","ISC","https://github.com/isaacs/yallist"
"yaml@2.3.2","ISC","https://github.com/eemeli/yaml"
"yauzl@2.10.0","MIT","https://github.com/thejoshwolfe/yauzl"
"zip-stream@6.0.1","MIT","https://github.com/archiverjs/node-zip-stream"
