name,version,license,url
crc-32,1.2.2,Apache-2.0,https://github.com/SheetJS/js-crc32
crc32-stream,4.0.2,MIT,https://github.com/archiverjs/node-crc32-stream
cross-spawn,7.0.3,MIT,https://github.com/moxystudio/node-cross-spawn
dayjs,1.11.7,MIT,https://github.com/iamkun/dayjs
debug,4.3.4,MIT,https://github.com/debug-js/debug
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream
depd,2.0.0,MIT,https://github.com/dougwilson/nodejs-depd
destroy,1.2.0,MIT,https://github.com/stream-utils/destroy
dreamopt,0.8.0,MIT,https://github.com/andreyvit/dreamopt.js
ee-first,1.1.1,MIT,https://github.com/jonathanong/ee-first
ejs,3.1.9,Apache-2.0,https://github.com/mde/ejs
encodeurl,1.0.2,MIT,https://github.com/pillarjs/encodeurl
end-of-stream,1.4.4,MIT,https://github.com/mafintosh/end-of-stream
es6-promise,4.2.8,MIT,https://github.com/stefanpenner/es6-promise
escape-html,1.0.3,MIT,https://github.com/component/escape-html
etag,1.8.1,MIT,https://github.com/jshttp/etag
express,4.18.2,MIT,https://github.com/expressjs/express
extract-zip,2.0.1,BSD-2-Clause,https://github.com/maxogden/extract-zip
fd-slicer,1.1.0,MIT,https://github.com/andrewrk/node-fd-slicer
filelist,1.0.4,Apache-2.0,https://github.com/mde/filelist
fill-range,7.0.1,MIT,https://github.com/jonschlinkert/fill-range
finalhandler,1.2.0,MIT,https://github.com/pillarjs/finalhandler
find-yarn-workspace-root,2.0.0,Apache-2.0,https://github.com/square/find-yarn-workspace-root
follow-redirects,1.15.2,MIT,https://github.com/follow-redirects/follow-redirects
form-data,4.0.0,MIT,https://github.com/form-data/form-data
forwarded,0.2.0,MIT,https://github.com/jshttp/forwarded
fresh,0.5.2,MIT,https://github.com/jshttp/fresh
friendly-node-cron,1.4.1,MIT,https://github.com/FreaKzero/friendly-node-cron
fs-constants,1.0.0,MIT,https://github.com/mafintosh/fs-constants
fs-extra,11.1.1,MIT,https://github.com/jprichardson/node-fs-extra
fs.realpath,1.0.0,ISC,https://github.com/isaacs/fs.realpath
function-bind,1.1.1,MIT,https://github.com/Raynos/function-bind
get-intrinsic,1.2.0,MIT,https://github.com/ljharb/get-intrinsic
get-stream,5.2.0,MIT,https://github.com/sindresorhus/get-stream
glob,10.1.0,ISC,https://github.com/isaacs/node-glob
glob-parent,5.1.2,ISC,https://github.com/gulpjs/glob-parent
glob-to-regexp,0.3.0,BSD-2-Clause,https://github.com/fitzgen/glob-to-regexp
graceful-fs,4.2.11,ISC,https://github.com/isaacs/node-graceful-fs
has,1.0.3,MIT,https://github.com/tarruda/has
has-flag,4.0.0,MIT,https://github.com/sindresorhus/has-flag
has-symbols,1.0.3,MIT,https://github.com/inspect-js/has-symbols
heap,0.2.7,MIT,https://github.com/qiao/heap.js
http-errors,2.0.0,MIT,https://github.com/jshttp/http-errors
iconv-lite,0.4.24,MIT,https://github.com/ashtuchkin/iconv-lite
ieee754,1.2.1,BSD-3-Clause,https://github.com/feross/ieee754
inflight,1.0.6,ISC,https://github.com/npm/inflight
inherits,2.0.4,ISC,https://github.com/isaacs/inherits
ipaddr.js,1.9.1,MIT,https://github.com/whitequark/ipaddr.js
is-absolute,1.0.0,MIT,https://github.com/jonschlinkert/is-absolute
is-binary-path,2.1.0,MIT,https://github.com/sindresorhus/is-binary-path
is-docker,2.2.1,MIT,https://github.com/sindresorhus/is-docker
is-extglob,2.1.1,MIT,https://github.com/jonschlinkert/is-extglob
is-glob,4.0.3,MIT,https://github.com/micromatch/is-glob
is-number,7.0.0,MIT,https://github.com/jonschlinkert/is-number
is-relative,1.0.0,MIT,https://github.com/jonschlinkert/is-relative
is-unc-path,1.0.0,MIT,https://github.com/jonschlinkert/is-unc-path
is-windows,1.0.2,MIT,https://github.com/jonschlinkert/is-windows
is-wsl,2.2.0,MIT,https://github.com/sindresorhus/is-wsl
isarray,1.0.0,MIT,https://github.com/juliangruber/isarray
isexe,2.0.0,ISC,https://github.com/isaacs/isexe
isnumber,1.0.0,MIT,https://github.com/brycebaril/node-isnumber
jake,10.8.5,Apache-2.0,https://github.com/jakejs/jake
js-yaml,4.1.0,MIT,https://github.com/nodeca/js-yaml
json-diff,1.0.3,MIT,https://github.com/andreyvit/json-diff
json-stable-stringify,1.0.2,MIT,https://github.com/ljharb/json-stable-stringify
jsonfile,6.1.0,MIT,https://github.com/jprichardson/node-jsonfile
jsonify,0.0.1,Public Domain,https://github.com/ljharb/jsonify
klaw-sync,6.0.0,MIT,https://github.com/manidlou/node-klaw-sync
lazystream,1.0.1,MIT,https://github.com/jpommerening/node-lazystream
lodash,4.17.21,MIT,https://github.com/lodash/lodash
lodash.defaults,4.2.0,MIT,https://github.com/lodash/lodash
lodash.difference,4.5.0,MIT,https://github.com/lodash/lodash
lodash.flatten,4.4.0,MIT,https://github.com/lodash/lodash
lodash.isplainobject,4.0.6,MIT,https://github.com/lodash/lodash
lodash.union,4.6.0,MIT,https://github.com/lodash/lodash
logic-solver,2.0.1,MIT,https://github.com/meteor/logic-solver
lru-cache,9.0.3,ISC,https://github.com/isaacs/node-lru-cache
media-typer,0.3.0,MIT,https://github.com/jshttp/media-typer
merge-descriptors,1.0.1,MIT,https://github.com/component/merge-descriptors
methods,1.1.2,MIT,https://github.com/jshttp/methods
micromatch,4.0.5,MIT,https://github.com/micromatch/micromatch
mime,1.6.0,MIT,https://github.com/broofa/node-mime
mime-db,1.52.0,MIT,https://github.com/jshttp/mime-db
mime-types,2.1.35,MIT,https://github.com/jshttp/mime-types
minimatch,9.0.0,ISC,https://github.com/isaacs/minimatch
minimist,1.2.8,MIT,https://github.com/minimistjs/minimist
minipass,5.0.0,ISC,https://github.com/isaacs/minipass
ms,2.1.3,MIT,https://github.com/vercel/ms
negotiator,0.6.3,MIT,https://github.com/jshttp/negotiator
node-cron,3.0.2,ISC,https://github.com/merencia/node-cron
normalize-path,3.0.0,MIT,https://github.com/jonschlinkert/normalize-path
object-assign,4.1.1,MIT,https://github.com/sindresorhus/object-assign
object-inspect,1.12.3,MIT,https://github.com/inspect-js/object-inspect
ohm-js,16.4.0,MIT,https://github.com/harc/ohm
on-finished,2.4.1,MIT,https://github.com/jshttp/on-finished
once,1.4.0,ISC,https://github.com/isaacs/once
open,7.4.2,MIT,https://github.com/sindresorhus/open
opentosca-vintner,0.1.3,Apache-2.0,https://github.com/OpenTOSCA/opentosca-vintner
os-tmpdir,1.0.2,MIT,https://github.com/sindresorhus/os-tmpdir
papaparse,5.4.1,MIT,https://github.com/mholt/PapaParse
parseurl,1.3.3,MIT,https://github.com/pillarjs/parseurl
patch-package,8.0.0,MIT,https://github.com/ds300/patch-package
path-is-absolute,1.0.1,MIT,https://github.com/sindresorhus/path-is-absolute
path-key,3.1.1,MIT,https://github.com/sindresorhus/path-key
path-scurry,1.7.0,BlueOak-1.0.0,https://github.com/isaacs/path-walker
path-to-regexp,0.1.7,MIT,https://github.com/component/path-to-regexp
pend,1.2.0,MIT,https://github.com/andrewrk/node-pend
picomatch,2.3.1,MIT,https://github.com/micromatch/picomatch
process-nextick-args,2.0.1,MIT,https://github.com/calvinmetcalf/process-nextick-args
proxy-addr,2.0.7,MIT,https://github.com/jshttp/proxy-addr
pump,3.0.0,MIT,https://github.com/mafintosh/pump
qs,6.11.0,BSD-3-Clause,https://github.com/ljharb/qs
range-parser,1.2.1,MIT,https://github.com/jshttp/range-parser
raw-body,2.5.1,MIT,https://github.com/stream-utils/raw-body
readable-stream,3.6.2,MIT,https://github.com/nodejs/readable-stream
readdir-enhanced,1.5.2,MIT,https://github.com/bigstickcarpet/readdir-enhanced
readdir-glob,1.1.3,Apache-2.0,https://github.com/Yqnn/node-readdir-glob
readdirp,3.6.0,MIT,https://github.com/paulmillr/readdirp
regression,2.0.1,MIT,https://github.com/Tom-Alexander/regression-js
rimraf,2.7.1,ISC,https://github.com/isaacs/rimraf
safe-buffer,5.2.1,MIT,https://github.com/feross/safe-buffer
safer-buffer,2.1.2,MIT,https://github.com/ChALkeR/safer-buffer
sax,1.2.4,ISC,https://github.com/isaacs/sax-js
semver,7.5.4,ISC,https://github.com/npm/node-semver
send,0.18.0,MIT,https://github.com/pillarjs/send
serve-static,1.15.0,MIT,https://github.com/expressjs/serve-static
setprototypeof,1.2.0,ISC,https://github.com/wesleytodd/setprototypeof
shebang-command,2.0.0,MIT,https://github.com/kevva/shebang-command
shebang-regex,3.0.0,MIT,https://github.com/sindresorhus/shebang-regex
side-channel,1.0.4,MIT,https://github.com/ljharb/side-channel
slash,2.0.0,MIT,https://github.com/sindresorhus/slash
stats-lite,2.2.0,MIT,https://github.com/brycebaril/node-stats-lite
statuses,2.0.1,MIT,https://github.com/jshttp/statuses
string_decoder,1.3.0,MIT,https://github.com/nodejs/string_decoder
supports-color,7.2.0,MIT,https://github.com/chalk/supports-color
sync-directory,6.0.4,ISC,https://github.com/hoperyy/sync-directory
systeminformation,5.17.12,MIT,https://github.com/sebhildebrandt/systeminformation
tar-stream,2.2.0,MIT,https://github.com/mafintosh/tar-stream
tmp,0.0.33,MIT,https://github.com/raszi/node-tmp
to-regex-range,5.0.1,MIT,https://github.com/micromatch/to-regex-range
toidentifier,1.0.1,MIT,https://github.com/component/toidentifier
tslib,2.5.0,0BSD,https://github.com/Microsoft/tslib
type-is,1.6.18,MIT,https://github.com/jshttp/type-is
unc-path-regex,0.1.2,MIT,https://github.com/regexhq/unc-path-regex
underscore,1.13.6,MIT,https://github.com/jashkenas/underscore
universalify,2.0.0,MIT,https://github.com/RyanZim/universalify
unpipe,1.0.0,MIT,https://github.com/stream-utils/unpipe
util-deprecate,1.0.2,MIT,https://github.com/TooTallNate/util-deprecate
utils-merge,1.0.1,MIT,https://github.com/jaredhanson/utils-merge
uuid,9.0.0,MIT,https://github.com/uuidjs/uuid
vary,1.1.2,MIT,https://github.com/jshttp/vary
which,2.0.2,ISC,https://github.com/isaacs/node-which
wordwrap,1.0.0,MIT,https://github.com/substack/node-wordwrap
wrappy,1.0.2,ISC,https://github.com/npm/wrappy
xml2js,0.5.0,MIT,https://github.com/Leonidas-from-XIV/node-xml2js
xmlbuilder,11.0.1,MIT,https://github.com/oozcitak/xmlbuilder-js
yallist,4.0.0,ISC,https://github.com/isaacs/yallist
yaml,2.3.2,ISC,https://github.com/eemeli/yaml
yauzl,2.10.0,MIT,https://github.com/thejoshwolfe/yauzl
zip-stream,4.1.0,MIT,https://github.com/archiverjs/node-zip-stream
